severity,peop_in_car,exp,city,highway,gender,speed,op_way,give_way,red_light,bad_grip,bad_visibility,houses,yard_exit,r_roadcross,nr_roadcross,bridge,industry,mall,rwd,awd,fwd,weight,power,vehicle_age,month,d_week,time_of_day,distance,medium,spacious,heavy,small
1,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1700,150,5,2,4,2,47.404462479419415,0,1,0,0
1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12000,250,14,4,1,5,48.04631902388139,0,0,1,0
1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1500,150,14,7,3,6,45.139020962475584,1,0,0,0
0,1,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2000,250,18,7,3,6,45.139020962475584,1,0,0,0
2,1,20,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1200,90,14,0,4,5,48.42908305679186,1,0,0,0
1,1,32,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1800,200,6,0,4,5,48.42908305679186,1,0,0,0
0,1,6,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1100,70,17,8,0,3,47.413968447453904,1,0,0,0
1,1,17,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1200,75,5,8,0,3,47.413968447453904,1,0,0,0
1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1400,150,18,5,4,7,47.58441019044401,1,0,0,0
1,2,11,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1300,80,5,5,4,7,47.58441019044401,1,0,0,0
1,1,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,700,50,21,0,1,3,41.55886907622031,1,0,0,0
1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1200,90,14,6,5,6,47.5918749489344,1,0,0,0
1,1,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1300,150,16,7,0,5,50.15521848805745,1,0,0,0
1,1,10,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1500,130,1,7,0,5,50.15521848805745,1,0,0,0
2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1300,150,31,1,0,0,56.47353133965908,1,0,0,0
1,1,8,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1600,150,5,1,0,0,56.47353133965908,0,0,1,0
0,1,28,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,12000,500,8,7,0,4,46.55130541834829,0,1,0,0
1,1,35,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,150,21,7,0,4,46.55130541834829,1,0,0,0
0,1,28,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1500,180,14,6,4,6,45.78987268772445,0,1,0,0
1,1,36,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1400,120,3,6,4,6,45.78987268772445,1,0,0,0
1,1,24,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,8000,400,21,0,3,5,41.40511718958972,0,1,0,0
1,6,29,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1300,100,3,9,0,5,46.70004127772493,1,0,0,0
2,3,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1200,120,8,9,0,5,46.70004127772493,1,0,0,0
1,1,35,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,12000,400,14,6,2,2,46.50932031143782,0,1,0,0
2,1,12,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1200,87,6,6,2,2,46.50932031143782,1,0,0,0
0,1,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1300,80,0,8,4,6,46.50411756892141,1,0,0,0
1,1,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1500,150,15,8,4,6,46.50411756892141,1,0,0,0
0,1,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1500,130,19,8,4,6,46.50411756892141,1,0,0,0
2,1,9,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2500,150,2,2,1,1,47.278919329863385,0,1,0,0
1,3,11,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1300,120,8,7,3,2,36.444151976536205,1,0,0,0
0,1,37,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3000,150,3,7,3,2,36.444151976536205,0,1,0,0
0,2,20,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1800,200,14,5,0,6,46.398306823481626,1,0,0,0
0,1,8,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1800,250,0,5,0,6,46.398306823481626,1,0,0,0
0,1,12,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,8500,480,15,4,2,3,16.209980091651413,0,1,0,0
1,1,36,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2500,100,5,4,2,3,16.209980091651413,0,1,0,0
0,2,9,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1700,150,15,7,2,3,46.51847057073618,1,0,0,0
0,1,17,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,12000,500,7,7,2,3,46.51847057073618,0,1,0,0
0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12000,500,7,7,3,6,49.470230796540456,0,1,0,0
1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12000,400,20,7,3,6,49.470230796540456,0,1,0,0
2,4,20,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1200,75,14,0,6,4,46.99774891331624,1,0,0,0
2,1,5,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1200,90,8,0,6,4,46.99774891331624,1,0,0,0
1,1,43,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1500,200,18,9,3,5,46.65759516492519,1,0,0,0
1,1,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11000,400,1,9,3,5,46.65759516492519,0,1,0,0
2,2,45,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1200,98,9,9,3,5,46.65759516492519,1,0,0,0
1,1,17,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1700,150,7,8,4,4,2.406350033970737,1,0,0,0
2,2,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1400,110,4,8,4,4,2.406350033970737,1,0,0,0
0,1,23,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1400,80,5,2,4,7,10.377860918083178,1,0,0,0
0,4,10,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1200,90,16,2,4,7,10.377860918083178,1,0,0,0
1,3,9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2400,250,5,10,3,4,42.135924117467766,1,0,0,0
2,2,45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1200,98,4,6,1,4,54.58394172132101,1,0,0,0
1,1,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,9000,400,1,10,1,5,47.12444488675355,0,1,0,0
1,1,23,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3000,150,4,0,5,0,4.412553426141436,0,1,0,0
2,1,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12000,500,0,8,0,0,8.013380445583719,0,1,0,0
2,1,25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1500,180,4,8,0,0,8.013380445583719,1,0,0,0
1,3,8,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2500,140,11,10,3,3,46.50949494003897,1,0,0,0
0,1,14,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,7000,250,9,10,3,3,46.50949494003897,0,1,0,0
0,1,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1300,150,11,6,1,2,1.4234682990559857,1,0,0,0
1,1,10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1300,80,2,6,1,2,1.4234682990559857,1,0,0,0
2,1,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8000,540,18,10,1,7,46.58559554778272,0,1,0,0
